date,decision,reasoning,expected_outcome,review_date,status
2026-03-23,"React 19.2 + Laravel 12 + MySQL 8 + FastAPI stack","Matches spec document requirements and March 2026 stable versions","Modern full-stack platform with API-first architecture","2026-04-22","open"
2026-03-23,"API-first architecture with versioned /api/v1/ routes","Enables future mobile apps and third-party integrations without rework","Independent frontend/backend deployment and mobile-ready API","2026-04-22","open"
2026-03-23,"Laravel Sanctum for authentication","Supports both SPA cookie auth and API token mode in one package","Seamless auth for SPA frontend and any future mobile/third-party clients","2026-04-22","open"
2026-03-23,"Exercise Group A/B split via hash(user_id) % 2","Prevents students from sharing exact answers; ensures 50/50 split deterministically","Academic integrity maintained without manual assignment overhead","2026-04-22","open"
2026-03-23,"Certificate UUID v4 with public verification endpoint","Allows third parties (employers, LinkedIn) to verify without an account","Trust and credibility for the certificate; blockchain-ready design","2026-04-22","open"
2026-03-23,"Redis queue driver in production, database queue locally","XAMPP local environment has no Redis; Redis available in Docker/prod","Zero-config local dev while maintaining production-grade queue in deployment","2026-04-22","open"
2026-03-23,"Use database queue locally (no Redis on XAMPP)","Simplifies local setup — Redis not bundled with XAMPP","Developers can run queue workers without installing Redis on Windows","2026-04-22","open"
2026-03-24,"Auth API built with Sanctum token auth (register/login/logout/me/forgot-password/reset-password)","Full auth lifecycle needed before any protected endpoint can be built","Secure token-based auth ready for React SPA and future mobile clients","2026-04-23","open"
2026-03-24,"statefulApi() middleware registered in bootstrap/app.php","Laravel 12 fluent app builder requires explicit stateful API call instead of kernel middleware","Sanctum cookie auth works for SPA alongside bearer token auth","2026-04-23","open"
2026-03-24,"CORS configured for machinelearning.local and localhost:3000 with supports_credentials=true","SPA at machinelearning.local and local Vite dev server both need CORS access to backend","React frontend can call API without browser CORS errors in both dev and local production","2026-04-23","open"
2026-03-24,"Admin role guard implemented inline per controller (check role===admin, return 403)","No dedicated middleware yet; keeps scope minimal and avoids premature abstraction","Admin endpoints protected; easy to extract to middleware when role system grows","2026-04-23","open"
2026-03-24,"Settings controllers use updateOrCreate per key — no bulk replace","Preserves keys not included in the request; prevents accidental deletion of settings","Safe partial updates for site_settings and seo_settings tables","2026-04-23","open"
2026-03-24,"All 34 v1 API routes registered: courses, enrollments, sessions, submissions, certificates, posts, admin CRUD, settings","Complete API surface built — all public and auth-gated endpoints functional","Frontend development can begin against stable API contract","2026-04-23","open"
2026-03-24,"Student pages wired to real Laravel API (StudentDashboard, MyCertificates, SessionViewer, QuizPage)","Static/placeholder data replaced with TanStack Query hooks using enrollmentsApi.mine, submissionsApi.mine, certificatesApi.mine, axiosInstance session endpoint","Live data from backend; per-exercise submission form; spinner loading states; correct API response shape consumed via select","2026-04-23","open"
2026-03-24,"Admin pages wired to real Laravel API (AdminDashboard, AdminUsers, AdminCourses, AdminSubmissions, AdminSettings, AdminSEO)","All 6 admin pages migrated from placeholder/single-endpoint patterns to correct TanStack Query hooks with select transforms, queryKey arrays, invalidateQueries / refetch after mutations","Admin panel renders live data; role edit and publish toggle work; grading POSTs to /admin/submissions/:id/grade; settings read/write via /admin/settings/site and /admin/settings/seo","2026-04-23","open"
2026-03-24,"AdminPosts page created — CRUD modal for blog/case-study/news posts","Insights/Blog feature required a full admin page to create, edit, delete posts with type badge and publish toggle","Admin can manage all blog content at /admin/posts; sidebar updated; router wired; postsApi confirmed present in coursesApi.js","2026-04-23","open"
2026-03-24,"Certificate generation via DomPDF queued job (GenerateCertificateJob)","DomPDF already installed; queued job keeps grading response fast; idempotency check prevents duplicate certificates","PDF saved to storage/app/public/certificates/{uuid}.pdf; database record created atomically","2026-04-23","open"
2026-03-24,"CourseCompletionService checks all published group-filtered exercises before certifying","Ensures no exercise is skipped; group A/B logic mirrors exercise assignment; enrollment.completed_at stamped on first completion","Accurate tamper-resistant completion detection before certificate issuance","2026-04-23","open"
2026-03-24,"Certificate download is a public endpoint (no auth required)","Certificates are shareable; employers verify without an account","GET /api/v1/certificates/{uuid}/download returns PDF file download directly","2026-04-23","open"
2026-03-24,"QUEUE_CONNECTION changed to sync in .env","Certificate generation must happen immediately on local XAMPP (no queue worker needed)","Certificates generated inline during grading with no worker process required","2026-04-23","open"
2026-03-24,"AdminAnalyticsController built with 6 KPI stats + 3 chart datasets","Provides total enrollments, completion rate, avg score, certificates, students, pending grading, enrollment trend (30d), submissions by status, group A/B distribution","GET /api/v1/admin/analytics returns structured JSON ready for ApexCharts consumption","2026-04-23","open"
2026-03-24,"AdminAnalytics.jsx fully wired with ApexCharts via window.ApexCharts","Greeva vendor bundle exposes ApexCharts globally; useEffect initialises area/donut/bar charts after TanStack Query data loads; each chart instance tracked in useRef for cleanup","Live analytics dashboard with enrollment trend area chart, submissions donut, group bar chart, and platform summary table","2026-04-23","open"
2026-03-24,"Laravel web.php serves React SPA via fallback route (regex excludes api|storage|admin-css|admin-js)","React build output lands in backend/public/app/; Laravel must serve index.html for all non-API paths","SPA routing works at machinelearning.local/ while /api/ routes remain unaffected","2026-04-23","open"
2026-03-24,"Vite base set to /app/ so built asset URLs are prefixed with /app/assets/","React build output is at public/app/; relative asset paths would break when index.html is served from /; /app/ base keeps assets resolvable","CSS/JS/image assets load correctly when SPA is served at root by Laravel","2026-04-23","open"
2026-03-24,"Public /api/v1/settings/site and /api/v1/settings/seo endpoints added (no auth required)","Frontend needs to load SEO meta and GA tracking ID before any auth state is known","SeoHead component can fetch SEO config on every page load without requiring a logged-in user","2026-04-23","open"
2026-03-24,"SeoHead component added to MainLayout — sets document.title, meta description, OG tags, Twitter cards, and optional Google Analytics script","SEO meta must update on every client-side navigation in the SPA; DOMless React component handles this via useEffect on route change","Search engines and social crawlers see correct per-page meta tags; GA fires on navigation","2026-04-23","open"
